Optimal Slope: 38.0 deg.
G(i)	T2m
0.0	3.64
0.0	3.77
0.0	3.7
0.0	3.43
0.0	2.78
0.0	2.48
575.97	3.19
737.37	5.21
850.53	7.18
591.95	8.97
570.17	10.21
377.48	10.68
171.03	10.74
72.51	10.27
0.0	9.6
0.0	9.07
0.0	8.78
0.0	8.25
0.0	8.37
0.0	7.99
0.0	7.67
0.0	7.57
0.0	7.92
0.0	8.02
0.0	8.11
0.0	8.08
0.0	8.12
0.0	7.99
0.0	7.82
0.0	7.79
491.53	8.44
614.09	10.06
787.2	11.36
800.7	12.58
708.23	13.36
558.91	13.56
327.66	13.22
36.46	12.26
0.0	10.9
0.0	9.9
0.0	9.18
0.0	8.64
0.0	8.1
0.0	7.75
0.0	7.3
0.0	6.93
0.0	6.59
0.0	6.23
0.0	5.88
0.0	5.39
0.0	4.94
0.0	4.36
0.0	3.75
0.0	3.35
568.86	4.03
722.66	7.22
793.72	10.24
801.94	11.85
734.23	12.71
572.66	13.09
325.79	12.94
92.2	11.96
0.0	10.09
0.0	8.06
0.0	6.61
0.0	5.71
0.0	5.02
0.0	4.42
0.0	3.7
0.0	3.14
0.0	2.73
0.0	2.42
0.0	2.06
0.0	1.76
0.0	1.46
0.0	1.25
0.0	0.99
0.0	0.78
33.78	2.14
53.87	4.82
111.68	6.04
97.69	6.63
51.13	7.2
31.96	7.59
15.52	7.42
4.57	6.84
0.0	6.18
0.0	5.71
0.0	5.28
0.0	4.92
0.0	4.41
0.0	4.06
0.0	3.47
0.0	2.88
0.0	2.32
0.0	1.71
0.0	1.45
0.0	1.4
0.0	1.28
0.0	1.32
0.0	1.1
0.0	0.6
43.82	0.78
124.3	1.65
227.31	2.56
347.05	3.34
678.23	4.05
602.33	4.47
413.17	4.97
127.61	4.83
0.0	3.99
0.0	3.06
0.0	1.32
0.0	0.77
0.0	1.01
0.0	1.06
0.0	0.89
0.0	0.97
0.0	1.12
0.0	1.52
0.0	2.16
0.0	3.44
0.0	4.83
0.0	5.69
0.0	5.97
0.0	5.88
50.7	5.71
51.13	6.09
64.82	6.14
109.56	6.52
99.52	6.7
51.13	6.7
47.48	6.33
24.38	6.07
0.0	5.87
0.0	5.57
0.0	5.06
0.0	4.77
0.0	4.7
0.0	5.0
0.0	4.88
0.0	4.76
0.0	4.57
0.0	4.11
0.0	2.45
0.0	0.05
0.0	-1.61
0.0	-2.52
0.0	-3.08
0.0	-3.47
21.0	-3.77
27.39	-4.6
300.68	-4.79
401.0	-4.59
110.48	-4.7
175.65	-4.73
286.77	-4.9
136.51	-5.21
0.0	-5.75
0.0	-6.2
0.0	-6.64
0.0	-6.97
0.0	-7.28
0.0	-8.76
0.0	-9.22
0.0	-9.64
0.0	-10.02
0.0	-10.38
0.0	-10.73
0.0	-11.03
0.0	-11.32
0.0	-11.63
0.0	-11.92
0.0	-12.18
693.3	-11.58
781.03	-11.08
817.75	-9.5
872.41	-8.05
612.55	-7.03
676.49	-6.57
460.1	-6.59
150.85	-7.1
0.0	-7.99
0.0	-8.72
0.0	-9.3
0.0	-9.86
0.0	-10.35
0.0	-11.52
0.0	-11.78
0.0	-11.96
0.0	-12.09
0.0	-12.16
0.0	-12.18
0.0	-12.19
0.0	-12.14
0.0	-12.13
0.0	-12.05
0.0	-11.87
623.39	-10.69
790.99	-8.32
882.01	-5.76
905.44	-3.62
834.36	-2.27
653.09	-1.72
401.94	-1.85
72.02	-2.75
0.0	-4.41
0.0	-5.51
0.0	-6.2
0.0	-6.65
0.0	-6.96
0.0	-7.51
0.0	-7.81
0.0	-8.07
0.0	-8.29
0.0	-8.48
0.0	-8.65
0.0	-8.8
0.0	-8.87
0.0	-8.88
0.0	-8.98
0.0	-9.16
633.9	-8.7
785.41	-8.32
864.96	-6.77
875.31	-5.51
807.32	-4.64
630.13	-4.19
261.95	-4.31
65.72	-5.05
0.0	-6.14
0.0	-6.65
0.0	-6.83
0.0	-6.87
0.0	-6.89
0.0	-7.84
0.0	-7.97
0.0	-7.92
0.0	-7.97
0.0	-8.1
0.0	-7.97
0.0	-7.73
0.0	-7.54
0.0	-7.25
0.0	-6.84
0.0	-6.46
601.97	-5.59
744.18	-4.33
844.05	-2.79
856.49	-1.6
785.48	-0.93
614.36	-0.7
390.84	-1.11
62.87	-1.56
0.0	-2.13
0.0	-2.45
0.0	-2.6
0.0	-2.69
0.0	-2.63
0.0	-2.87
0.0	-2.82
0.0	-2.84
0.0	-2.73
0.0	-2.63
0.0	-2.59
0.0	-2.52
0.0	-2.6
0.0	-2.56
0.0	-2.7
0.0	-2.77
611.86	-2.17
737.31	-1.19
820.7	0.5
873.81	1.83
765.08	2.81
606.09	3.3
393.09	3.08
112.99	1.95
0.0	-0.12
0.0	-1.26
0.0	-1.77
0.0	-1.91
0.0	-2.02
0.0	-2.23
0.0	-1.93
0.0	-1.88
0.0	-1.88
0.0	-1.63
0.0	-1.63
0.0	-1.85
0.0	-2.06
0.0	-2.07
0.0	-2.26
0.0	-2.3
596.16	-1.28
760.12	0.53
869.96	2.48
888.19	3.96
803.49	5.09
639.53	5.43
409.73	5.2
86.68	3.93
0.0	1.47
0.0	-0.24
0.0	-1.23
0.0	-1.82
0.0	-2.21
0.0	-2.05
0.0	-2.18
0.0	-2.32
0.0	-2.3
0.0	-2.41
0.0	-2.36
0.0	-2.33
0.0	-2.35
0.0	-2.53
0.0	-2.53
0.0	-2.36
557.65	-1.14
757.19	0.89
858.7	2.97
873.33	4.5
802.23	5.55
647.3	5.97
415.84	5.62
90.9	4.1
0.0	1.53
0.0	0.0
0.0	-0.79
0.0	-0.98
0.0	-1.38
0.0	-1.86
0.0	-1.99
